resonance_rad (um),t (s),Eigenfrequency (Hz),"Velocity, X component (m^4/s)","Velocity, Y component (m^4/s)","Velocity, Z component (m^4/s)",Velocity magnitude (m^4/s),1 (m^3)
10,0,1.5868-5.5624i,-3.6000E-29-1.7197E-29i,4.9174E-29-5.6057E-29i,-6.4849E-29-7.2379E-29i,8.90E-29,4.32E-14
10,0,1.5868+5.5624i,3.6000E-29-1.7197E-29i,-4.9174E-29-5.6057E-29i,6.4849E-29-7.2379E-29i,8.90E-29,4.32E-14
10,0,26.17,-6.5135E-29i,-2.1376E-31i,1.6985E-30i,0,4.32E-14
10,0,3.18E+06,1.2423E-40i,-3.1123E-40i,7.0951E-43i,0,4.32E-14
10,0,3.18E+06,1.6980E-41i,1.9697E-41i,-7.5173E-44i,0,4.32E-14
10,0,3.18E+06,7.4249E-41i,-2.6738E-41i,4.7246E-44i,0,4.32E-14
10,0,4.35E+06,-1.0428E-40i,-6.8724E-41i,-7.4465E-44i,0,4.32E-14
10,0,4.35E+06,-5.8318E-41i,-8.8133E-41i,1.9209E-43i,0,4.32E-14
10,0,4.35E+06,1.0155E-41i,-1.1353E-40i,-2.9521E-44i,0,4.32E-14
10,0,5.96E+06,-5.0509E-41i,6.6669E-42i,-6.4407E-46i,0,4.32E-14
10,0,5.98E+06,3.9294E-40i,7.2802E-41i,1.1018E-44i,0,4.32E-14
10,0,5.99E+06,6.9179E-41i,1.8141E-41i,2.4879E-44i,0,4.32E-14
10,0,6.58E+06,1.5485E-41i,4.5396E-41i,2.7861E-47i,0,4.32E-14
10,0,6.58E+06,2.2253E-41i,-9.0470E-41i,-6.9229E-44i,0,4.32E-14
10,0,6.59E+06,-9.6361E-41i,-1.3114E-40i,-6.2711E-44i,0,4.32E-14
10,0,6.66E+06,-1.7162E-41i,2.6639E-41i,4.3861E-44i,0,4.32E-14
10,0,6.66E+06,5.9541E-41i,2.2382E-41i,5.0692E-44i,0,4.32E-14
10,0,6.67E+06,-5.5483E-42i,3.9888E-41i,-1.9820E-44i,0,4.32E-14
10,0,6.80E+06,1.3973E-43i,1.2134E-41i,-2.1290E-44i,0,4.32E-14
10,0,6.83E+06,1.3126E-40i,3.1923E-42i,-2.3781E-45i,0,4.32E-14
10,0,6.85E+06,1.7018E-44i,3.0557E-41i,4.3066E-45i,0,4.32E-14
10,0,7.65E+06,3.8733E-41i,-1.3267E-41i,-1.0110E-44i,0,4.32E-14
10,0,7.66E+06,-1.3288E-40i,-3.8010E-41i,-4.7242E-45i,0,4.32E-14
10,0,7.68E+06,-8.4802E-41i,1.1730E-40i,-1.6653E-44i,0,4.32E-14
10,0,8.34E+06,1.2225E-41i,-7.1437E-42i,7.9798E-45i,0,4.32E-14
10,0,8.34E+06,1.2492E-40i,6.8789E-41i,-2.6359E-44i,0,4.32E-14
10,0,9.16E+06,-8.3439E-41i,-1.6421E-41i,-1.2003E-46i,0,4.32E-14
10,0,1.02E+07,6.6069E-41i,-7.7177E-41i,4.6700E-44i,0,4.32E-14
10,0,1.02E+07,1.7405E-41i,-3.3782E-43i,4.3235E-45i,0,4.32E-14
10,0,1.02E+07,5.7363E-41i,3.5033E-41i,-1.9428E-45i,0,4.32E-14
10,0.02,75377,-3.6090E-35+2.0009E-35i,2.2974E-30+2.0312E-31i,-1.3328E-31-2.3855E-31i,2.30E-30,4.32E-14
10,0.02,75384,1.9024E-34-1.7671E-36i,1.7297E-31-2.1653E-31i,2.3335E-30+1.8053E-31i,2.34E-30,4.32E-14
10,0.02,1.53E+05,9.4271E-31-1.4045E-32i,8.1707E-36+1.6124E-35i,-7.5405E-35-7.3844E-36i,9.43E-31,4.32E-14
10,0.02,3.17E+06,-4.3565E-34-1.4874E-34i,1.5486E-35+3.2580E-36i,-1.1894E-34-4.5752E-36i,7.93E-31,4.32E-14
10,0.02,3.18E+06,5.3942E-34+5.0690E-34i,-1.0884E-34-3.8300E-35i,-3.0671E-35-4.5250E-35i,7.90E-31,4.32E-14
10,0.02,3.18E+06,-1.6876E-35+1.0501E-33i,-1.1017E-35+1.0663E-34i,-4.9719E-35-3.9519E-35i,6.56E-32,4.32E-14
10,0.02,4.35E+06,-7.4517E-36+1.5900E-36i,4.8105E-33-1.5399E-33i,4.2502E-33-1.1521E-33i,3.66E-31,4.32E-14
10,0.02,4.35E+06,3.6350E-35-7.1147E-36i,7.7727E-33-2.0892E-33i,4.2752E-33-1.4481E-33i,4.15E-31,4.32E-14
10,0.02,4.35E+06,6.7292E-36+3.0080E-36i,5.6244E-33+1.6068E-33i,-8.2862E-33-2.2483E-33i,3.33E-31,4.32E-14
10,0.02,5.96E+06,-4.2028E-36+2.3025E-36i,2.7048E-36-2.3295E-35i,-3.5931E-36-4.3328E-35i,8.52E-32,4.32E-14
10,0.02,5.98E+06,1.9673E-36+1.3488E-36i,-1.0812E-35+4.1139E-35i,-9.9931E-36-2.0765E-35i,1.39E-32,4.32E-14
10,0.02,5.99E+06,2.6572E-36+1.5915E-36i,-2.0136E-35+7.3558E-36i,-8.7679E-36-2.8040E-36i,1.32E-31,4.32E-14
10,0.02,6.58E+06,-5.3330E-36-8.2884E-36i,-1.1057E-33-4.7755E-34i,-2.5325E-34-1.3308E-34i,3.94E-31,4.32E-14
10,0.02,6.58E+06,1.6995E-36+5.6039E-36i,6.7413E-35+2.7199E-35i,6.2243E-34+7.8586E-36i,4.15E-32,4.32E-14
10,0.02,6.59E+06,2.4440E-36+1.0355E-35i,-2.0218E-34-1.7093E-34i,-1.2473E-34-8.8177E-35i,6.09E-31,4.32E-14
10,0.02,6.66E+06,-1.0594E-36+1.3236E-36i,2.0072E-33+5.9438E-35i,3.9545E-33+4.4102E-35i,2.81E-32,4.32E-14
10,0.02,6.66E+06,-2.7481E-36-2.7805E-36i,3.2447E-34-1.1843E-33i,7.1732E-34-3.4135E-33i,5.80E-31,4.32E-14
10,0.02,6.67E+06,1.5733E-36+1.1671E-36i,4.2269E-33-2.2148E-34i,-1.8911E-33+1.6812E-34i,3.54E-32,4.32E-14
10,0.02,6.80E+06,1.3394E-36+7.6731E-36i,3.2181E-35+3.3281E-35i,1.0276E-34-5.5183E-35i,2.12E-31,4.32E-14
10,0.02,6.82E+06,5.2965E-36-1.1391E-36i,2.4010E-35+9.6094E-35i,1.8456E-35-1.3845E-35i,1.01E-31,4.32E-14
10,0.02,6.85E+06,-8.1696E-35-1.3331E-34i,3.2855E-36-1.4512E-37i,-4.8290E-36+1.0555E-36i,1.90E-31,4.32E-14
10,0.02,7.65E+06,6.7018E-36+3.6342E-36i,-9.0930E-36+4.4750E-35i,6.8820E-35-1.1179E-34i,2.57E-31,4.32E-14
10,0.02,7.66E+06,-5.9741E-38+4.4929E-37i,3.2028E-35+1.0699E-34i,1.5287E-35+3.2518E-35i,1.31E-31,4.32E-14
10,0.02,7.68E+06,-2.4668E-36+2.2524E-36i,1.7290E-35+7.9144E-36i,1.5562E-35+2.0848E-35i,8.76E-32,4.32E-14
10,0.02,8.34E+06,2.3729E-36-5.6540E-37i,2.5888E-37+4.1835E-37i,-2.6540E-35+4.4058E-36i,9.81E-32,4.32E-14
10,0.02,8.34E+06,1.9594E-36+1.2934E-36i,1.3552E-35+5.4026E-36i,8.8655E-36+2.7698E-36i,1.74E-31,4.32E-14
10,0.02,9.16E+06,2.5306E-36+3.4890E-37i,1.1525E-35+1.0681E-36i,3.1461E-35+2.4420E-36i,5.63E-32,4.32E-14
10,0.02,1.02E+07,1.4608E-35-1.8032E-36i,6.8224E-34+3.8797E-35i,-3.3631E-34+2.0885E-34i,1.00E-31,4.32E-14
10,0.02,1.02E+07,4.5147E-35-2.0634E-35i,-2.2288E-33+2.9296E-34i,3.0426E-33-2.5249E-33i,5.13E-31,4.32E-14
10,0.02,1.02E+07,1.1177E-35+2.6353E-35i,-2.2601E-33-3.2230E-33i,-2.1876E-33-9.0253E-34i,6.84E-31,4.32E-14
10,0.04,1.51E+05,-4.6426E-35+3.9652E-35i,2.2722E-30+3.8814E-31i,-7.2037E-32-4.5996E-31i,2.27E-30,4.32E-14
10,0.04,1.51E+05,2.0431E-34-2.9113E-36i,2.1524E-31-4.1989E-31i,2.3103E-30+3.4710E-31i,2.32E-30,4.32E-14
